ทรัฟเฟิล	thráffə̂əw
บะจ่าง	bàcàaŋ
อโวคาโด	awookhaadoo
บัลลูน	banluun
จ๊ะ	cá
ส.ต.ม	sɔ̌ɔ tɔɔ mɔɔ
ยวน	yuan
พลูโทเนียม	phluuthonîam
ไอ้ยุ่น	ây yûn
บอส	bɔ́ɔs
โปโลน้ำ	booloo náam
ผักคอส	phàk khɔ́ɔs
แคนู	khɛɛnuu
ไห	hǎy
นอมินี	nɔɔmínii
โดส	dóos
วัดเบญจมบพิตร	wát beencamabɔɔphìt
อีคอมเมิร์ซ	ii khɔmmə́əs
สกล	sakon
อะเคร	à khrêe
ชามะนาว	chaa mánaaw
เสียๆหายๆ	sǐa sǐa hǎay hǎay
อุทัย	ùthay
โอซาก้า	oosaakâa
ฮาเนดะ	haaneedà
สุราษฎร์	sùrâat
ธน	thon
ลพ	lóp
มีน	miin
รัมย์	ram
ปราจีน	praaciin
ไรเฟิล	rayfə̂əw
ฟอยล์อะลูมิเนียม	fɔɔy àluumíniam
ฟอยล์	fɔɔy
มรรยาท	manyâat
ยีราฟ	yiiráap
ออโตเมติก	ɔɔtoomeetìk
อายน	aayon
อุตสาห์	ùtsǎa
จั๊วะ	cuwá
สวิตช์	sawít
เฟส	fées
ไดร์เป่าผม	day pàw phǒm
ซิม	sim
ตุยเย่วาตานาเบ้ไอโกะ	tuy yêe waa taa naa bêe ay kò
จริยา	caríyaa
ทรอปิกออฟแคปริคอร์น	sɔɔpìk ɔ́ɔf khɛɛpríkhɔɔn
คณะนิเทศศาสตร์	khaná níttêetsàat
กฎความโน้มถ่วงสากลของนิวตัน	kòt khwaam nóom thùaŋ sǎakɔn khɔ̌ɔŋ níwtan
นกเจ้าฟ้าหญิงสิรินธร	nók câw fáa yǐŋ sìrinthɔɔn
ไซซ์	say
เรื่องเล่นๆ	rʉ̂aŋ lên lên
ใช้ชีวิตไปวันๆ	cháy chiiwít pay wan wan
พฤติ	phrút
ช็อค	chɔ́k
ๆ	máay yamók
มั้ย	máy
โควิด	khoowhìt
โอเค	ookhee
เด็กๆ	dèk dèk
เป่ายิ้งฉุบ	pàw yíŋ chùp
มาเลเซีย	maleesia
อีเมล์	ii meew
วิดีโอ	wiidiioo
แชมพู	chɛmphuu
ทิชชู่	thítchûu
ก๊วยเตี๋ยว	kúay tǐaw
บ๊ายบาย	báay baay
ใจเย็นๆ	cay yen yen
เฟซบุ๊ก	féesbúk
สมาร์ทโฟน	samáatfoon
โน้ตบุ๊ก	nóotbúk
ไลน์	lay
โปเกมอน	poo kee mɔɔn
ใช้บริการ	cháy bɔɔríkaan
แคลน	khlɛɛn
สปาเก็ตตี้	sapaa kèttîi
เบเกอรี่	beekəərîi
สน	sǒn
สต็อก	satɔ́k
สครับ	sakhráp
เนปาล	neepaaw
กรีซ	kríis
แคดดี้	khɛ́tdîi
วอลเปเปอร์	wɔɔnpeepə̂ə
โค้ท	khóot
ปาย	paay
จ็อกกิ้ง	cɔ̀ɔkkîŋ
ซือสัตย์	sʉʉsàt
แอปฯ	ɛ́ɛp
บราซิล	braasiw
โค้ก	khóok
บีทีเอส	bii thii és
ลิฟต์	líf
บริการ	bɔɔríkaan
บัส	bás
ซีอิ๊ว	siiíw
ปาร์ตี้	paatîi
วัดโพธิ์	wát phoo
กระเป๋าตังค์	kràpǎw taŋ
กีต้าร์	kiitâa
ที่ชาร์จ	thîi cháat
บัตรเดบิต	bàt deebìt
สยามสแควร์	sayǎam sakhwɛɛ
มาบุญครอง	maabunkhrɔɔŋ
มาม่า	maa mâa
เกมส์	keem
วัดอรุณราชวราราม	wát arun râatchawaraaraam
สยามพารากอน	sayǎam pharaakɔ̂n
ไซส์	sáy
